Key Items,Instructions,Definitions
Force Majeure,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Force Majeure from the text in this format:
<example>
Text:
```
""6.5	Force Majeure Events and Excusable Events
(a)	Certain Events. No failure or omission to carry out or observe any of the terms, provisions or conditions of this Agreement shall give rise to any cl...
```
Data retrieved:
acts of God, fires, explosions or accidents, war, riots, insurrection, rebellion, civil disturbance, acts of the public enemy, acts of terrorism and sabotage, blockades, embargoes; unusual export or import restrictions by any Governmental Authority, sanctions, strikes or other labor difficulty or labor disputes that are national or regional in scope; port closure, rationing or allocation, at the request or insistence of any Governmental Authority; national or regional epidemic or quarantine; and any emergencies declared by any Governmental Authority.</example>


<example>
Text:
```
10.1  - “Force Majeure Event” means any act or event that directly delays or prevents a Party from performing all or a portion of its obligations under this Agreement, or from complying with all or a ...
```
Data retrieved:
(i) natural, single event phenomena, such as tornadoes, hurricanes, floods, lightning, extreme weather conditions, seismic activity including but not limited to earthquakes and volcanic eruptions; (ii) explosions or fires arising from lightning or other causes unrelated to the acts or omissions of the Party seeking to be excused from performance; (iii) acts of war or public disorders, civil disturbances, riots, insurrection, sabotage, epidemic, terrorist acts, or rebellion; (iv) outages of the electric grid or cellular service or internet service, or (v) any unforeseen facts or consequences, as of the Effective Date, of the COVID-19 pandemic which have a material effect on Contractor’s performance under this Contract. The term Force Majeure Event does not include (i) economic hardship or lack of funds; (ii) changes in market conditions, including but not limited to a general deterioration in the economy or in the economic conditions prevalent in the industry which the Party operates; (iii) inability of Contractor to obtain equipment to construct the Project, equipment failures, or acts or omissions of agents or subcontractors of Contractor, except to the extent such acts or omissions arise from a Force Majeure Event; (iv) any financial or payment obligations of either Party whether arising under this Agreement or otherwise; (v) the extent to which the Party claiming a Force Majeure Event has caused or contributed to the applicable act, event or condition by its fault or negligence or has failed to use commercially reasonable efforts or Prudent Industry Practices to prevent or remedy such act, event, cause or condition and, so far as possible and within a reasonable time period, remove it; or (vi) the extent to which the act, event, cause or condition is the result of a breach by the Party seeking to invoke a Force Majeure Event.</example>


<example>
Text:
```
ARTICLE 10
FORCE MAJEURE
 10.1.1 10.1 Definition.""Force Majeure Event"" means any act or event that directly delays or
prevents a Party from performing all or a portion of its obligations under this...
```
Data retrieved:
Unusually severe weather, tornadoes, hurricanes, floods, lightning, and seismic activity, including but not limited to earthquakes and volcanic eruptions; (ii) explosions or fires arising from lightning or other causes unrelated to the acts or omissions of the Party seeking to be excused from performance; and (iii) acts of war or public disorders, civil disturbances, riots, insurrection, sabotage, epidemic, terrorist acts, or rebellion. The term Force Majeure Event does not include (i) economic hardship or lack of funds; (ii) changes in market conditions, including but not limited to a general deterioration in the economy or in the economic conditions prevalent in the industry which the Party operates; (iii) inability of Contractor to obtain equipment to construct the Project, equipment failures, or acts or omissions of agents or subcontractors of Contractor, except to the extent such acts or omissions arise from a Force Majeure Event; (iv) any financial or payment obligations of either Party whether arising under this Agreement or otherwise; (v) the extent to which the Party claiming a Force Majeure Event has caused or contributed to the applicable act, event or condition by its fault or negligence or has failed to use commercially reasonable efforts to prevent or remedy such act, event, cause or condition and, so far as possible and within a reasonable time period, remove it; (vi) the extent to which the act, event, cause or condition is the result of a breach by the Party seeking to invoke Force Majeure; (vii) delays in receipt of any Permit or Governmental Authorization; (viii) delays by the Utility; or (ix)any non-national Site-specific strike or labor action affecting Contractor or its Subcontractors exclusively.</example>

","Clauses that release both parties from liability or obligation when an extraordinary event or circumstance beyond the control of the parties, such as a natural disaster, prevents one or both parties from fulfilling their contractual obligations."
Assignment - Owner,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Assignment - Owner from the text in this format:
<example>
Text:
```
13.1.2 Permitted Assignments. Notwithstanding Section 13.1.1, Owner may, without Contractor’s consent, but with written notice to Contractor: (i) assign this Agreement to (A) any subsidiary, Affiliate...
```
Data retrieved:
13.1.2 - (i)(A) subsidiary, affiliate, or special purpose company, or
   (B) purchaser of Project ;
(ii) collateral assignment</example>


<example>
Text:
```
11.5 - The Owner and the Design-Builder each bind themselves, their successors, assigns, and legal representatives to the other party to the Contract and to the successors, assigns, and legal represen...
```
Data retrieved:
Can assign without consent.</example>


<example>
Text:
```
13.1	General. Neither Party shall assign this Agreement or any of its rights hereunder, or delegate any of its obligations hereunder, without the prior written consent of the other Party. Notwithstand...
```
Data retrieved:
Can't assign without consent unless assigning to any financing</example>

",Conditions under which the owner can transfer their rights and obligations under the contract to another party.
Assignment - Contractor,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Assignment - Contractor from the text in this format:
<example>
Text:
```
Section 25.2 Assignments
 (a) Except as set forth in this 0 and in Section 25.3, this Contract may be assigned
only with the prior written consent of the other Party. Contractor may not assign, sub-...
```
Data retrieved:
Can't assign without consent unless assigning to an affiliate with notice.</example>


<example>
Text:
```
11.5 - The Owner and the Design-Builder each bind themselves, their successors, assigns, and legal representatives to the other party to the Contract and to the successors, assigns, and legal represen...
```
Data retrieved:
Can't assign without consent.</example>


<example>
Text:
```
13.1	General. Neither Party shall assign this Agreement or any of its rights hereunder, or delegate any of its obligations hereunder, without the prior written consent of the other Party. Notwithstand...
```
Data retrieved:
Can't assign without consent unless (i) subcontracting  the work, or (ii) assigning to any financing</example>

",Conditions under which the contractor can transfer their rights and obligations under the contract to another party.
Liens,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Liens from the text in this format:
<example>
Text:
```
6.6(a) - As a condition to the obligation of Owner to make the payment on any Invoice under this Contract, Contractor shall deliver to Owner conditional Lien Waivers related thereto, duly executed by ...
```
Data retrieved:
Contractor shall deliver lien waivers to Owner.</example>


<example>
Text:
```
2.16.2 - Design-Builder shall indemnify and protect any Owner Indemnified Party from and against all claims, liens, charges or encumbrances pertaining to payment for the Work arising from the performa...
```
Data retrieved:
Contractor shall indemnify and protect any Owner Indemnified Party from and against all claims, liens, charges or encumbrances.</example>


<example>
Text:
```
5.1.2 No Liens. To the extent that Owner has timely paid Contractor for Work performed hereunder, Contractor shall not directly or indirectly create, incur, assume, or suffer to be created by it or an...
```
Data retrieved:
Contractor shall not directly or indirectly create lien, mechanic’s lien, charge, or encumbrance on the Work, the Site, the Project, or any part thereof unless non-payment from Owner.</example>

","Details regarding any legal right or interest that the contractor or others may have on the property, until certain debts arising out of the construction are cleared."
Summary of Economic Terms,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Summary of Economic Terms from the text in this format:
<example>
Text:
```
Exhibit D - Mechanical Completion Delay Liquidated Damages: ($400)/day per MW DC, or the actual amount of interest carrying costs, whichever is greater, if the Facility has not achieved Mechanical Com...
```
Data retrieved:
$400/day per MW DC for non-achievement of Mechanical Completion on or before the Guaranteed Substantial Completion Date and $250)/day per MW DC for non-achievement of Substantial  Completion on or before the Guaranteed Substantial Completion Date.
Contract Price: $8,215,529.71 equal to $ $1.201971 / Watt DC at 6,835,050 Watts DC</example>


<example>
Text:
```
4.8 - Delay Damages. Subject to Section 12.4 and Article IX, in the event Contractor has not achieved Substantial Completion on or before the Guaranteed Substantial Completion Date, then, as Owner’s s...
```
Data retrieved:
Shall pay damages in the amount of $250.00 per Megawatt of Expected Capacity per day for each day after the Guaranteed Substantial Completion Date until the Substantial Completion Date</example>


<example>
Text:
```
Exhibit C - Contract Price: $ 4,767,238.32...
```
Data retrieved:
Contract Price: $ 4,767,238.32</example>

","A comprehensive overview of the financial aspects of the project, including payment terms, pricing structure, and cost allocation."
Taxes,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Taxes from the text in this format:
<example>
Text:
```
3.5 - Owner shall remit in a timely manner any and all Excluded Taxes to the Governmental Authority having jurisdiction over such Taxes as are Owner’s responsibility under Section 5.3. In the event an...
```
Data retrieved:
Owner's responsibility to pay excluded taxes.</example>


<example>
Text:
```
Article 1 - “Tax” means any tax, levy, imposition, rates, impost, duty, fee, assessment, deduction, charge or withholding imposed by any Government Authority, including but not limited to income, capi...
```
Data retrieved:
Article 1</example>


<example>
Text:
```
Contractor’s Tax Indemnity. Contractor shall be responsible for and shall pay (or cause to be paid) all Taxes of any kind arising in connection with the Work and any materials supplied hereunder, incl...
```
Data retrieved:
7.3 - Contractor is responsible for any taxes paid arising in connection with the Work and any materials supplied under the Agreement; Owner responsible for all property taxes</example>

","Details of taxes applicable to the project, who is responsible for them, and how they are to be handled."
Mechanical Completion - Notification to REA by Developer,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Mechanical Completion - Notification to REA by Developer from the text in this format:
<example>
Text:
```
2.2.4 (a) - On or before the Day that is three (3) Business Days after the Day on which Contractor believes that Mechanical Completion has been completed (other than delivery of the Mechanical Complet...
```
Data retrieved:
Contractor shall notify Owner by delivering to Owner a Mechanical Completion Certificate.</example>


<example>
Text:
```
10.2(a) - Contractor shall deliver a written notice upon mechanical completion and certification of such determination substantially in the form attached hereto as Exhibit T-1...
```
Data retrieved:
Contractor shall notify Owner by delivering to Owner a Mechanical Completion Certificate.</example>


<example>
Text:
```
2.2.4(a) - On or before the Day that is three (3) Business Days after the Day on which Contractor believes that Interim Completion has been achieved, Contractor shall submit to Owner and Engineer the ...
```
Data retrieved:
Contractor shall notify Owner by delivering to Owner a Interim Completion Certificate.</example>

",Procedure for notifying the relevant energy authority by the developer once mechanical completion is achieved.
Mechanical Completion - Review Period,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Mechanical Completion - Review Period from the text in this format:
<example>
Text:
```
4.3(c) - Owner shall review and provide any comments within 10 business days....
```
Data retrieved:
Review within 10 days.</example>


<example>
Text:
```
10.2(b) - Owner shall review and provide any comments within 10 business days....
```
Data retrieved:
Review within 10 days.</example>


<example>
Text:
```
2.2.4(a) - Owner shall review and provide any comments within 30 days....
```
Data retrieved:
Review within 30 days.</example>

",The time period allowed for the energy authority or the owner to review and assess the mechanical completion before giving approval.
Mechanical Completion - Acceptance,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Mechanical Completion - Acceptance from the text in this format:
<example>
Text:
```
2.2.4(a) - countersign and deliver to Contractor the Mechanical Completion Certificate to indicate its agreement that Mechanical Completion has been achieved....
```
Data retrieved:
Issue Mechanical Completion Certificate if accepted.</example>


<example>
Text:
```
4.5(b) - If accepted, Owner shall countersign and return Interim Completion Certificate....
```
Data retrieved:
Issue Interim  Completion Certificate if accepted.</example>


<example>
Text:
```
4.4(b) - If accepted, Owner shall countersign and return Mechanical Completion Certificate....
```
Data retrieved:
Issue Mechanical Completion Certificate if accepted.</example>

",Process by which mechanical completion is formally accepted by the owner or the authority.
Mechanical Completion - Rejection,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Mechanical Completion - Rejection from the text in this format:
<example>
Text:
```
10.2(b) - If Owner notifies Contractor that Mechanical Completion was not achieved, Contractor will promptly undertake such action or work as necessary to achieve Mechanical Completion in accordance w...
```
Data retrieved:
Give notification of rejection.</example>


<example>
Text:
```
4.3(c) - If rejected, Owner shall provide a detailed explanation of the reasons therefor....
```
Data retrieved:
Give reasons for rejection.</example>


<example>
Text:
```
2.2.4(a) - if reasonable cause exists for doing so, notify Contractor of its belief that Mechanical Completion has not been achieved, including but not limited to Owner’s or the Engineer’s reasons for...
```
Data retrieved:
Give reasons for rejection.</example>

",Conditions and process for rejection of the mechanical completion if it does not meet the specified standards or requirements.
Substantial Completion - Notification to REA by Developer,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Substantial Completion - Notification to REA by Developer from the text in this format:
<example>
Text:
```
4.5(b) - Contractor shall deliver to Owner a Notice of Substantial Completion, which shall list each requirement of Substantial Completion and provide confirmation that each requirement has been compl...
```
Data retrieved:
Contractor shall notify Owner by delivering to Owner a Substantial Completion Certificate.</example>


<example>
Text:
```
4.6(b) - When Contractor considers that the criteria for Substantial Completion have been met, Contractor shall so notify Owner in writing by delivering to Owner a Substantial Completion Certificate i...
```
Data retrieved:
Contractor shall notify Owner by delivering to Owner a Substantial Completion Certificate.</example>


<example>
Text:
```
4.3 - When the Design-Builder believes it has achieved Substantial Completion of the Work or a designated portion of the Work, which the Owner has agreed to accept separately, the DesignBuilder must n...
```
Data retrieved:
Contractor shall notify Owner by delivering to Owner a Substantial Completion Certificate.</example>

",Procedure for notifying the relevant energy authority by the developer once substantial completion is achieved.
Substantial Completion - Review Period,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Substantial Completion - Review Period from the text in this format:
<example>
Text:
```
2.2.4(b) - Owner shall review and provide any comments...
```
Data retrieved:
Review</example>


<example>
Text:
```
2.2.4(b) - Owner shall review and provide any comments within 15 days....
```
Data retrieved:
Review within 15 days.</example>


<example>
Text:
```
10.4(b) - Owner shall review and provide any comments within 10 business days....
```
Data retrieved:
Review within 10 days.</example>

",The time period allowed for the energy authority or the owner to review and assess the substantial completion before giving approval.
Substantial Completion - Acceptance,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Substantial Completion - Acceptance from the text in this format:
<example>
Text:
```
2.2.4(b) - countersign and deliver to Contractor the Substantial Completion Certificate to indicate its agreement that Substantial Completion has been achieved....
```
Data retrieved:
Issue Substantial Completion Certificate if accepted.</example>


<example>
Text:
```
10.4(b) - If Owner acknowledges that Substantial Completion has been achieved, the date on which Contractor submitted the accepted Certificate of Substantial Completion shall be deemed the date of Sub...
```
Data retrieved:
Issue Substantial Completion Certificate if accepted.</example>


<example>
Text:
```
4.5(b) - If accepted, Owner shall countersign and return Substantial Completion Certificate....
```
Data retrieved:
Issue Substantial Completion Certificate if accepted.</example>

",Process by which substantial completion is formally accepted by the owner or the authority.
Substantial Completion - Rejection,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Substantial Completion - Rejection from the text in this format:
<example>
Text:
```
4.6(b) - If rejected, Owner shall provide a detailed explanation of the reasons therefor....
```
Data retrieved:
Give reasons for rejection.</example>


<example>
Text:
```
10.4(b) - If Owner notifies Contractor that Substantial Completion has not been met, Contractor will promptly undertake such action or work as necessary to achieve Substantial Completion in accordance...
```
Data retrieved:
Give notification of rejection.</example>


<example>
Text:
```
2.2.4(b) -  if reasonable cause exists for doing so, notify Contractor in writing of its belief that Substantial Completion has not been achieved, including but not limited to Owner’s or the Engineer’...
```
Data retrieved:
Give reasons for rejection.</example>

",Conditions and process for rejection of the substantial completion if it does not meet the specified standards or requirements.
Final Completion - Notification to REA by Developer,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Final Completion - Notification to REA by Developer from the text in this format:
<example>
Text:
```
4.5 - When the Design-Builder believes it has achieved Final Completion, the Design-Builder must notify the Owner that the Work is ready for Final Completion inspection....
```
Data retrieved:
Contractor shall notify Owner by delivering to Owner a Final Completion Certificate.</example>


<example>
Text:
```
4.7(b) - When Contractor considers that the criteria for Final Acceptance for the Facility have been met, Contractor shall so notify Owner in writing by delivering to Owner a Final Acceptance Certific...
```
Data retrieved:
Contractor shall notify Owner by delivering to Owner a Final Acceptance Certificate.</example>


<example>
Text:
```
10.8 - When Contractor believes in good faith that it has achieved Final Completion, Contractor shall deliver a written notice and certification of such determination substantially in the form attache...
```
Data retrieved:
Contractor shall notify Owner by delivering to Owner a Final Completion Certificate.</example>

",Procedure for notifying the relevant energy authority by the developer once final completion is achieved.
Final Completion - Review Period,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Final Completion - Review Period from the text in this format:
<example>
Text:
```
4.5 - Promptly thereafter, the Owner and the Design-Builder must jointly inspect the Work...
```
Data retrieved:
Prompt review</example>


<example>
Text:
```
2.2.4(d) - Owner shall review and provide any comments within 15 days....
```
Data retrieved:
Review within 15 days.</example>


<example>
Text:
```
10.9 - Owner shall review and provide any comments within 10 business days....
```
Data retrieved:
Review within 10 days.</example>

",The time period allowed for the energy authority or the owner to review and assess the final completion before giving approval.
Final Completion - Acceptance,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Final Completion - Acceptance from the text in this format:
<example>
Text:
```
4.6(b) - If accepted, Owner shall countersign and return Final Acceptance Certificate....
```
Data retrieved:
Issue Final Acceptance Certificate if accepted.</example>


<example>
Text:
```
2.2.4(d) - countersign and deliver to Contractor the Final Completion Certificate to indicate its agreement that Final Completion has been achieved....
```
Data retrieved:
Issue Final Acceptance Certificate if accepted.</example>


<example>
Text:
```
4.7(b) - If accepted, Owner shall countersign and return Final Acceptance Certificate....
```
Data retrieved:
Issue Final Acceptance Certificate if accepted.</example>

",Process by which final completion is formally accepted by the owner or the authority.
Final Completion - Rejection,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Final Completion - Rejection from the text in this format:
<example>
Text:
```
4.7(b) - If rejected, Owner shall provide a detailed explanation of the reasons therefor....
```
Data retrieved:
Give reasons for rejection.</example>


<example>
Text:
```
2.2.4(d) - If reasonable cause exists for doing so, notify Contractor in writing of its belief that Final Completion has not been achieved, including but not limited to Owner’s or the Engineer’s reaso...
```
Data retrieved:
Give reasons for rejection.</example>


<example>
Text:
```
4.6(b) - if Owner rejects Contractor’s Final Acceptance Notice, respond in writing, giving its reasons for such rejection....
```
Data retrieved:
Give reasons for rejection.</example>

",Conditions and process for rejection of the final completion if it does not meet the specified standards or requirements.
Pre Contract Module Procurement Payment,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Pre Contract Module Procurement Payment from the text in this format:
<example>
Text:
```
""EXHIBIT G MILESTONE PAYMENT SCHEDULE

Milestones	Milestone Dates
Mobilization / Major Equipment Down Payment	5/3/19
POs Issued for Major Equipment	5/3/19
Engineering
Civil Design Complete	6/1/19
Mech...
```
Data retrieved:
May 3, 2019</example>

",Advance payment that may be required before contract signing for securing module procurement.
EPC Agreement Execution / LNTP,"Retrieve EPC Agreement Execution / LNTP from the text.
Definitions: EPC Agreement Execution / LNTP - Date of execution of the EPC agreement or issuance of the Letter of Notice to Proceed..
",Date of execution of the EPC agreement or issuance of the Letter of Notice to Proceed.
LNTP #2,"Retrieve LNTP #2 from the text.
Definitions: LNTP #2 - Issuance of the second Letter of Notice to Proceed if applicable, marking another phase of project progression..
","Issuance of the second Letter of Notice to Proceed if applicable, marking another phase of project progression."
