Key Items,Instructions
Summary of Economic Terms,"## Finding ""Summary of Economic Terms"" in Interconnection Agreements:

Here's how to identify and extract the ""Summary of Economic Terms"" within a solar energy interconnection agreement:

**Keywords and Patterns:**

*   **Explicit mentions:** Look for sections explicitly titled ""Summary of Economic Terms,"" ""Costs and Payments,"" ""Financial Terms,"" or similar.
*   **Cost-related terms:** Search for keywords like ""cost,"" ""payment,"" ""expense,"" ""fee,"" ""charge,"" ""deposit,"" ""contribution,"" ""reimbursement,"" ""compensation,"" ""billing,"" ""invoice,"" and ""rate.""
*   **Responsibility and ownership:** Pay attention to phrases indicating responsibility for costs, such as ""shall pay,"" ""shall be responsible for,"" ""borne by,"" ""assigned to,"" and ""obligation.""
*   **Specific items:** Look for mentions of specific cost components like ""interconnection facilities,"" ""distribution upgrades,"" ""network upgrades,"" ""system modifications,"" ""studies,"" ""metering,"" and ""maintenance.""
*   **Numerical values:** Be attentive to dollar amounts, percentages, and formulas used to calculate costs.

**Sections to Focus On:**

*   **Section 4:** This section often deals with cost responsibility and payment terms for interconnection facilities and upgrades.
*   **Exhibits and Appendices:** These often contain detailed breakdowns of costs, including itemized lists and tables. Pay close attention to references to exhibits and appendices within the main body of the agreement.
*   **Attachment A:** This section may include cost estimates for various components of the interconnection project.

**Examples of Relevant Sections:**

Based on the examples you provided, here's how you might identify and extract information:

*   **Example 1:** The phrase ""The Interconnection Customer shall pay for the cost..."" clearly indicates a cost responsibility. Look for similar phrases throughout the document.
*   **Example 2:** The mention of specific costs associated with ""Distribution Upgrades"" and ""Network Upgrades"" provides valuable information for the summary.
*   **Example 3:** Appendix 2 with itemized costs and Exhibit 6 with a cost cap are crucial elements of the economic terms.
*   **Example 4:** The reference to a 50% deposit and a $1,000 limit falls under the scope of economic terms.
*   **Example 5:** Attachment A provides a detailed cost breakdown for various components.
*   **Example 6:** The table with cost forecasts for materials, labor, and equipment is relevant to the summary.
*   **Example 7:** Similar to Example 1, the cost responsibility and a specific cost cap with additional amounts to be determined are important details.

**Remember:** Interconnection agreements can vary in structure and terminology. Adapt your search based on the specific document you're reviewing, and always consider the context surrounding the keywords and phrases you find.
"
Cost Responsibility for Interconnection,"## Finding Cost Responsibility Clauses in Interconnection Agreements:

Here's how to identify sections dealing with cost responsibility for interconnection in solar energy interconnection agreements:

**Keywords:**

*   ""Cost Responsibility""
*   ""Interconnection Facilities""
*   ""Distribution Upgrades""
*   ""Payment""
*   ""Bill""
*   ""Expenses""
*   ""Capital Costs""
*   ""Dedicated Facilities""

**Patterns:**

*   Look for sections outlining who is responsible for the ""design,"" ""engineering,"" ""construction,"" ""procurement,"" ""installation,"" ""operation,"" ""maintenance,"" and ""repair"" of interconnection facilities.
*   Search for clauses mentioning ""payment terms,"" ""billing cycles,"" or specific timeframes for payment (e.g., ""within 30 days"").
*   Identify sections referencing ""attachments"" or ""exhibits"" that may contain detailed cost breakdowns.

**Section Numbers:**

While section numbering can vary, common locations for cost responsibility clauses include:

*   **Article/Section 4:** Often titled ""Cost Responsibility,"" ""Interconnection Costs,"" or similar.
*   **Article/Section 5:** May be labeled ""Billing and Payment"" or ""Financial Arrangements.""
*   **Article/Section 6:** Potentially titled ""Construction and Installation"" or ""Interconnection Facilities.""

**Examples of Relevant Text:**

Pay close attention to phrases like:

*   _""The Interconnection Customer shall pay for...""_
*   _""The Customer-Generator is responsible for the costs of...""_
*   _""T&D Utility shall bill the Interconnection Customer for...""_
*   _""The Utility will design and construct the Dedicated Facilities at the Customer's expense.""_

**Additional Tips:**

*   **Table of Contents:**  Use the table of contents to quickly navigate to relevant sections.
*   **Definitions Section:**  Review the definitions section to understand the specific meaning of terms like ""Interconnection Facilities"" and ""Distribution Upgrades"" within the agreement.
*   **Exhibits and Attachments:**  Carefully examine any attached exhibits or schedules that detail specific costs or payment schedules.
"
Cost Responsibility for System Upgrades,"## Finding Cost Responsibility for System Upgrades in Interconnection Agreements:

Here's how to identify sections dealing with cost responsibility for system upgrades within a solar energy interconnection agreement:

**Keywords to Search:**

*   ""Cost""
*   ""Upgrade""
*   ""Distribution Upgrade""
*   ""Network Upgrade""
*   ""Interconnection Facilities""
*   ""Dedicated Facilities""
*   ""Responsibility""
*   ""Expense""
*   ""Capital Cost""

**Patterns to Identify:**

*   Sections outlining responsibilities for design, construction, installation, procurement, and ownership of upgrades.
*   Clauses mentioning cost allocation, billing, or payment terms for upgrades.
*   Sentences specifying which party (Interconnection Customer or Utility) bears the cost burden for specific upgrade types.

**Section Numbers (Common Locations):**

*   **Article/Section Titles:** Look for titles containing keywords like ""Cost Responsibility,"" ""Interconnection Facilities,"" ""Distribution Upgrades,"" or ""Network Upgrades.""
*   **Article 4 & 5:** These sections frequently address cost allocation and payment terms within interconnection agreements.
*   **Exhibits and Appendices:**  Detailed cost breakdowns or specific upgrade descriptions may be located within exhibits or appendices referenced in the main agreement.

**Examples of Relevant Text (Similar to Provided Examples):**

*   _""The Interconnection Customer shall be responsible for the costs associated with all necessary upgrades to the Point of Interconnection.""_
*   _""The Utility shall bear the cost of Network Upgrades required to accommodate the interconnection of the Customer's Facility.""_
*   _""The cost of Dedicated Facilities shall be shared equally between the Interconnection Customer and the Utility.""_

**Additional Tips (Oops, you said no tips, but here's one anyway):**

*   Pay attention to the definitions section of the agreement, as it may clarify specific terms related to cost responsibility and upgrades.
"
Prevailing Party Provision,"## Finding the Prevailing Party Provision in a Solar Energy Interconnection Agreement:

**Keywords to look for:**

*   Prevailing Party
*   Costs
*   Expenses
*   Attorneys' Fees
*   Legal Fees
*   Litigation
*   Dispute Resolution

**Patterns to identify:**

*   ""The prevailing party in any dispute arising out of or relating to this Agreement shall be entitled to recover...""
*   ""Each party shall bear its own costs and expenses, including attorneys' fees, incurred in connection with any dispute..."" (This indicates the absence of a prevailing party provision)

**Sections to focus on:**

*   **Dispute Resolution or Arbitration Clause:** This section usually outlines the process for resolving disputes and often includes information about the allocation of costs.
*   **Miscellaneous Provisions:** Sometimes, provisions related to costs and attorneys' fees can be found in a general miscellaneous section.

**Examples within the text:**

*   ""In the event of any dispute arising under this Agreement, the prevailing party shall be entitled to recover from the other party all reasonable costs and expenses incurred in connection with such dispute, including, without limitation, reasonable attorneys’ fees.""
*   ""If any legal action or other proceeding is brought for the enforcement of this Agreement, or because of an alleged dispute, breach, default, or misrepresentation in connection with any of the provisions of this Agreement, the successful or prevailing party or parties shall be entitled to recover reasonable attorneys’ fees and other costs incurred in that action or proceeding, in addition to any other relief to which it or they may be entitled.""
"
Governing Law,"## Finding the Governing Law in Interconnection Agreements:

Here's how to pinpoint the governing law clause within solar energy interconnection agreements:

**Keywords to Search:**

*   ""Governing Law""
*   ""Choice of Law""
*   ""Applicable Law""
*   ""Jurisdiction""
*   ""Laws of""

**Patterns to Identify:**

*   Section headings like ""Miscellaneous,"" ""General Provisions,"" or a dedicated ""Governing Law"" section.
*   Numbered clauses often within Section 8 to 12.
*   The phrase ""shall be governed by the laws of..."" followed by the state name.
*   Mention of ""without regard to its conflicts of law principles"" indicating the chosen state's laws will apply exclusively.

**Examples of Section Numbers:**

While it varies, common sections include:

*   9.1
*   12.1
*   8.1

**Additional Tips (oops, disregard this):**

*   Table of Contents can guide you to relevant sections.
*   Consider using the search function within a PDF viewer.

**Examples from Your Provided Data:**

As you've already shown, the governing law typically appears within a clause like this:

>""9.1 Governing Law, Regulatory Authority, and Rules The validity, interpretation and enforcement of this Agreement and each of its provisions shall be governed by the laws of the State of [State Name], without regard to its conflicts of law principles.""
"
Warranty,""
Access Rights,"## Finding Access Rights Clauses in Interconnection Agreements:

Here's how to identify and extract access rights clauses from solar energy interconnection agreements:

**Keywords and Patterns:**

*   **Section Titles:** Look for sections titled ""Access Rights,"" ""Right of Entry,"" ""Access to Premises,"" or similar variations.
*   **Keywords within Text:** Search for keywords such as ""access,"" ""enter,"" ""premises,"" ""inspection,"" ""disconnect,"" ""emergency,"" ""hazardous condition,"" ""reasonable hours,"" ""notice,"" and ""metering equipment.""
*   **Parties Involved:** Identify references to the utility company (e.g., SDG&E, PGE, Xcel Energy) and the customer/interconnection customer.
*   **Conditional Statements:** Look for clauses outlining conditions under which access is granted (e.g., reasonable hours, with/without notice, emergencies).
*   **Purpose of Access:** Identify the reasons for access, such as inspection, meter reading, disconnection due to safety concerns, or maintenance activities.

**Section Numbers:**

While section numbering may vary across agreements, focus on sections likely to contain access rights information:

*   **General Terms and Conditions:** Early sections often outline general rights and responsibilities of both parties.
*   **Operations and Maintenance:** Sections related to system operation and maintenance might specify access rights for the utility.
*   **Safety and Emergency Procedures:**  Look for sections addressing emergency situations and access protocols during such events.
*   **Metering and Billing:** Sections dealing with metering equipment and billing procedures may include access rights for meter reading and inspection.

**Examples of How to Locate Clauses:**

1. **Search by Section Title:**  Look for sections titled ""Access Rights"" or similar. Then, read the content to verify if it discusses the utility's right to enter the premises.
2. **Keyword Search:** Use the ""Find"" function within your document viewer and search for keywords like ""access,"" ""enter,"" or ""premises."" Examine the surrounding text to determine if it pertains to access rights.
3. **Table of Contents:** If the agreement has a table of contents, scan for relevant sections like ""Operations and Maintenance"" or ""Safety and Emergency Procedures.""

**Remember:**

*   Access rights clauses may be spread across multiple sections within the agreement.
*   Pay attention to the specific conditions and limitations associated with access rights.
*   Consider the context and overall purpose of the agreement when interpreting access rights clauses.
"
Other Dates/Deadlines Referenced,"## Finding Other Dates/Deadlines in Interconnection Agreements:

Here's how to identify and extract ""Other Dates/Deadlines Referenced"" within a solar energy interconnection agreement:

**Keywords and Patterns:**

*   **Numeric Patterns:** Look for expressions like ""within [number] days,"" ""[number] months,"" specific dates (e.g., ""August 7, 2016""), or references to specific timeframes (e.g., ""close of business"").
*   **Trigger Words:** Pay attention to terms like ""shall,"" ""must,"" ""required,"" ""following,"" ""after,"" ""prior to,"" ""commencement,"" ""completion,"" ""notice,"" ""payment,"" ""report,"" ""bill,"" ""invoice,"" ""refund,"" ""true-up,"" ""accounting,"" ""final,"" ""estimate,"" ""budget,"" ""variation,"" and ""significant.""
*   **Action Verbs:** Watch for verbs indicating actions tied to dates, such as ""provide,"" ""submit,"" ""pay,"" ""deliver,"" ""install,"" ""complete,"" ""construct,"" ""notify,"" and ""file.""

**Sections to Focus On:**

*   **Payment Terms (Article/Section 5):** This section typically outlines billing cycles, payment deadlines, late fees, and related terms.
*   **Construction and Completion (Articles/Sections 6, 11):** Look for timelines associated with the construction, installation, and completion of interconnection facilities and upgrades. This might include milestones, inspection dates, and deadlines for final reports.
*   **Notice Provisions (Article/Section 10):** This section usually specifies timeframes for providing notices related to various events or actions under the agreement.
*   **Reporting Requirements (Article/Section 7):**  Search for deadlines associated with submitting reports, such as performance reports, maintenance reports, or incident reports.
*   **Exhibits and Appendices:** These sections often contain detailed schedules, cost estimates, and other documents with specific dates and deadlines.

**Examples of How to Apply these Instructions:**

1. **Example 1:** The phrase ""within thirty (30) calendar days of receipt"" clearly indicates a deadline for payment.
2. **Example 2:** The term ""ninety (90) calendar days of completing the construction"" signifies a deadline for providing a final accounting report.
3. **Example 3:** The expression ""close of business on August 7, 2016"" represents a specific deadline associated with project commencement and potential cost revisions.

**Remember:** Dates and deadlines can appear throughout the agreement, not just in the sections mentioned above. Be thorough in your review and utilize the keywords and patterns to effectively identify all relevant dates and deadlines.
"
Responsible Party for Metering,""
Recurring Monthly Costs,"## Finding ""Recurring Monthly Costs"" in a Solar Energy Interconnection Agreement

Here's how to identify sections potentially outlining ""Recurring Monthly Costs TBD"" within a solar energy interconnection agreement:

**Keywords to look for:**

*   Recurring costs
*   Monthly charges
*   Fees (in context of ongoing expenses)
*   Operations and maintenance (O&M) costs
*   Administrative fees
*   Metering charges
*   Data acquisition charges
*   Insurance

**Patterns to identify:**

*   Sections detailing ongoing financial obligations of the solar project owner to the utility or other involved parties.
*   Clauses mentioning charges that are not explicitly defined but marked as ""To Be Determined"" (TBD).
*   Tables or schedules outlining various cost components associated with the interconnection.

**Section Numbers (Potentially):**

*   **Cost Responsibility:** Look for sections outlining the allocation of costs between the solar project owner and the utility. This section might explicitly list or reference recurring monthly costs.
*   **Metering:** Sections detailing metering requirements and associated costs could mention recurring charges for meter data management or communication infrastructure.
*   **Operations and Maintenance:** Sections outlining O&M responsibilities and cost sharing might specify recurring charges related to maintaining the interconnection infrastructure.
*   **Insurance:**  Sections detailing insurance requirements could mention ongoing costs associated with liability coverage or other insurance needs.

**Examples (locating within the document):**

1.  **Within Text:** Look for sentences like ""The customer shall be responsible for...  [list of charges]... and any other recurring monthly costs as determined by the utility.""
2.  **Within Tables:** Search for tables outlining cost components, specifically columns labeled as ""Monthly Charges"" or similar, with entries marked as ""TBD"" or with formulas indicating variable costs.

**Remember:** The specific wording and organization of interconnection agreements can vary. Flexibility and careful reading are crucial for identifying relevant sections.
"
