,Key Items,Instructions
25,Liens,"## Finding Lien and Payment Clauses in Lease Agreements: A Guide for Gemini LLM

**Objective:** Locate and extract specific sections within a lease agreement document that pertain to lien waivers, payment conditions, and contractor obligations related to liens. 

**Key Features to Identify:**

* **Section Numbers and Headings:** Look for sections explicitly labeled with terms like ""Liens,"" ""Releases and Waivers,"" ""Payment,"" or similar headings that suggest relevance to the topic. Pay attention to numeric identifiers like ""5.6,"" ""2.16.2,"" etc., as these often denote specific clauses within the agreement.
* **Keywords and Phrases:**  Focus on the following terms and their synonyms to identify relevant passages:
    * **Lien:** Mechanic's lien, Contractor Lien, claim of lien, encumbrance, charge
    * **Waiver:** Release, conditional waiver, lien waiver
    * **Payment:** Remittance, paid, payment terms, invoice, due
    * **Contractor Obligations:**  Indemnify, discharge, bond, defend, hold harmless
    * **Parties Involved:** Owner, Contractor, Subcontractor, Major Subcontractor, laborer, materialman, supplier
* **Conditional Statements:**  Sentences containing ""if,"" ""to the extent that,"" ""provided that,"" or similar phrasing often outline conditions related to lien waivers and payment obligations. 
* **Timeframes:** Look for mentions of specific timeframes like ""on or before,"" ""timely,"" ""promptly,"" or number of days, as these often indicate deadlines for fulfilling obligations related to liens and payments.
* **Forms and Exhibits:** References to specific forms (e.g., ""Exhibits F-1 through F-3"") or external documents might offer further details on lien waiver requirements.

**Prompt for Gemini LLM:**

Given a lease agreement document, please identify and extract all sections that discuss the following:

* **Lien waivers:** This includes clauses specifying when and how contractors must provide lien waivers to the owner, the types of waivers required (e.g., conditional, unconditional), and any conditions tied to the release of payment.
* **Payment terms and conditions related to liens:** Look for clauses outlining the owner's obligation to make timely payments and the consequences of non-payment on the contractor's lien rights.
* **Contractor obligations regarding liens:**  Extract sections detailing the contractor's responsibility to avoid placing liens on the property, discharge existing liens, and indemnify the owner from lien-related claims. 

**Additional Tips:**

* Pay attention to the context surrounding the keywords and phrases. Not every mention of ""lien"" or ""payment"" will be relevant to your search.
* Consider the overall structure of the agreement and the relationships between different clauses. 
* If the document is lengthy, use search functions or table of contents to navigate efficiently.

**By following these guidelines and using the provided prompt, Gemini LLM should be able to effectively locate and extract the desired information from lease agreements.**
"
26,Summary of Economic Terms,"## Finding text related to Economic Terms, description of PAYMENTS.

1. **Keywords:** Search for the following keywords and their variations:
    * **Delay Damages:** ""Delay Damages,"" ""liquidated damages,"" ""Substantial Completion,"" ""Guaranteed Substantial Completion Date,"" ""Mechanical Completion,"" ""Commercial Operation Date""
    * **Contract Price:** ""Contract Price,"" ""EPC Price,"" ""cost,"" ""fee schedule,"" ""payment schedule""
    * **Project Schedule:** ""Project Schedule,"" ""Guaranteed Substantial Completion Date,"" ""Guaranteed Final Completion Date,"" ""Mechanical Completion Date,"" ""Notice to Proceed,"" ""milestone,"" ""delivery,"" ""completion""
2. **Section Identification:** Pay attention to section numbers and headings related to the identified keywords, such as:
    * Numbered sections (e.g., 4.8, 2.1, Exhibit D)
    * Headings and subheadings (e.g., ""Contract Price and Project Schedule,"" ""Milestone Payment Schedule"")
3. **Contextual Clues:** Look for contextual clues surrounding the keywords that indicate relevance to the target information:
    * Dates and deadlines
    * Monetary amounts and calculations
    * References to specific project milestones or events
    * Names of parties involved (e.g., Owner, Contractor)
4. **Exhibit References:** Note any references to exhibits or annexes that may contain relevant information, such as:
    * ""Exhibit D - Contract Price and Project Schedule""
    * ""Exhibit C - Contract Price""
    * ""Annex A System Cost Schedule""
5. **Output:** Provide the identified sections of text that are most likely to contain information about delay damages, contract price, and project schedule.

**Example:**

Based on the provided samples, here's how you could identify a relevant section:

* **Keywords:** ""Substantial Completion,"" ""Guaranteed Substantial Completion Date,"" ""liquidated damages""
* **Section Identification:** Section 4.7
* **Contextual Clues:** Mentions monetary amount per day for delay, references ""Contractor"" and ""Owner""
* **Output:**

"
27,Taxes,"## Prompt for Gemini LLM to Locate Tax Clauses in Lease Agreements:

**Objective:** Identify and extract sections within a lease agreement that specifically address tax obligations and responsibilities of both the Owner and Contractor.

**Keywords and Patterns to Look for:**

* **Explicit terms:** ""Taxes,"" ""Tax,"" ""Tax Indemnity,"" ""Excluded Taxes,"" ""Governmental Authority,"" ""Applicable Law,"" ""Tax Assessment,"" ""Property Tax""
* **Parties involved:** ""Owner,"" ""Contractor,"" ""Subcontractor,"" ""Supplier""
* **Types of taxes:** ""income,"" ""payroll,"" ""sales,"" ""use,"" ""transfer,"" ""customs,"" ""property,"" ""duties,"" ""levies,"" ""fees"" 
* **Actions related to taxes:** ""pay,"" ""remit,"" ""reimburse,"" ""indemnify,"" ""defend,"" ""hold harmless""
* **Sections/Articles/Clauses mentioning taxes:** Look for numbered sections or articles with titles or headings containing the keywords mentioned above. 
* **Numbered lists:** Pay close attention to clauses with sub-sections denoted by letters (e.g., (a), (b), (c)). These often detail specific tax obligations.
* **Financial calculations:** Look for sections mentioning calculations related to taxes, such as net present value, discount rates, or depreciation.

**Instructions:**

1. **Scan the document:** Quickly browse the lease agreement, focusing on headings, subheadings, and keywords mentioned above.
2. **Identify relevant sections:** Pinpoint sections that explicitly discuss tax responsibilities. 
3. **Extract the text:** Copy the entire section related to tax obligations, including the section number or title, and any sub-sections. 
4. **Analyze the content:** Pay close attention to the specific types of taxes mentioned, who is responsible for paying them, and any indemnity clauses. 
5. **Repeat:** Continue this process to identify and extract all sections related to taxes within the lease agreement.

**Additional Tips:**

* Pay attention to the context of the keywords. For example, ""sales tax"" might be mentioned in a different context unrelated to tax obligations.
* Look for cross-references to other sections within the document that might provide additional information about taxes. 
* Be aware of any definitions of terms related to taxes, such as ""Tax"" or ""Governmental Authority,"" which are often found at the beginning of the lease agreement.

**Example Prompts:**

* ""Find all sections in the lease agreement that discuss the responsibility for paying property taxes.""
* ""Extract the section that defines the term 'Tax' and list the types of taxes included in the definition.""
* ""Identify any clauses that address the obligation of the Contractor to indemnify the Owner for unpaid taxes.""

**By following these instructions and utilizing the provided keywords and patterns, Gemini should be able to effectively locate and extract all relevant sections within the lease agreement that pertain to tax obligations and responsibilities.**
"
30,Mechanical Completion - Notification to REA by Developer,"## Finding Mechanical Completion Sections in Lease Documents: Analysis and Prompt

Based on the provided samples, we can identify several key features and patterns to look for when searching for sections related to Mechanical Completion in lease documents:

**Keywords:**

*   ""Mechanical Completion"" is the most obvious and consistent keyword.
*   Other relevant keywords include: ""Interim Completion,"" ""Certificate,"" ""Notice,"" ""achieve,"" ""deliver,"" ""submit,"" ""completion tasks,"" and ""documentation.""
*   Look for keywords related to the parties involved, such as ""Contractor,"" ""Owner,"" ""Engineer,"" and ""Project Company.""

**Structure:**

*   The sections are often numbered, using a combination of numbers and letters (e.g., 4.3(c), 2.2.4(a)).
*   They may be part of a larger section with a broader topic (e.g., Section 4.4).
*   The sections typically describe a specific action or requirement related to Mechanical Completion. 
*   They frequently reference specific forms or exhibits (e.g., Exhibit J-1, Exhibit I).

**Text Features:**

*   The language used is usually formal and legalistic.
*   The sections often specify timelines or deadlines for actions.
*   They may include conditions or requirements that must be met before Mechanical Completion can be declared.

## Prompt for Gemini LLM:

**Objective:** Locate and extract all sections within the lease document that pertain to Mechanical Completion.

**Instructions:**

1. **Keyword Search:** Scan the document for the keyword ""Mechanical Completion"" and its variations (e.g., ""Completion Certificate,"" ""achieve Mechanical Completion"").
2. **Section Identification:** Identify sections containing the keywords, paying attention to numbering patterns (e.g., 4.3(c), 10.2(a)).
3. **Contextual Analysis:** Analyze the surrounding text to ensure the section is relevant to the process of achieving and certifying Mechanical Completion. Look for keywords like ""Contractor,"" ""Owner,"" ""submit,"" ""deliver,"" and references to specific forms or exhibits. 
4. **Extract and Organize:** Extract the identified sections, including their headings and full text. Organize them based on their numbering or thematic relevance. 
5. **Additional Keywords:** If necessary, expand the search to include related keywords like ""Interim Completion"" to capture a broader range of relevant sections.

**Output:** Provide a list of all extracted sections, properly formatted with headings and full text. 
"
31,Mechanical Completion - Review Period,"## Analyzing the Text Samples:

The provided text samples exhibit a consistent structure and keyword pattern. Let's break down the key features:

**Structure:**

* **Section Numbering:** Each text sample starts with a section number, often with multiple subsections like ""4.3(c)"" or ""2.2.4(a)"". This indicates a hierarchical organization within the document.
* **Subject and Action:** The text follows with the subject ""Owner"" and the action ""shall review and provide any comments"".
* **Timeframe:** Finally, a timeframe for the action is specified, such as ""within 10 business days"" or ""within 30 days"". 

**Keywords:**

* **""Owner""**: This consistently refers to the party responsible for reviewing and providing comments.
* **""shall review and provide any comments""**: This phrase indicates the required action to be taken by the Owner.
* **Timeframe indicators**:  Keywords like ""within"", ""days"", and ""business days"" specify the time limit for the action.

**Additional Features:**

* The timeframe for the action varies across the samples.
* Some sections are repeated with different timeframes, like ""2.2.4(a)"". 

## Prompt for Gemini LLM:

Based on the analysis, here's a prompt to help Gemini LLM find similar text sections in the lease document:

**Prompt:**

Search for text sections in the document that follow this structure:

* Starts with a section number (e.g., X.X(a), X.X.X(b)).
* Contains the keyword ""Owner"".
* Includes the phrase ""shall review and provide any comments"". 
* Specifies a timeframe using keywords like ""within"", ""days"", or ""business days"".

**Additional instructions:**

* Look for variations in the timeframe specified.
* Identify sections with the same number but different timeframes.
* Extract the section number, timeframe, and any additional relevant context for each matching section. 
"
32,Mechanical Completion - Acceptance,"## Analysis of Text Samples and Prompt Creation:

Based on the provided text samples, here's a breakdown of the common structure, keywords, and features to look for when searching for similar sections within a lease document:

**Common Structure:**

* **Numbered sections and subsections:** The text samples follow a consistent pattern of numbered sections (e.g., 4.3, 4.5, 2.2.4) and subsections identified by lowercase letters (e.g., (a), (b)). This suggests a hierarchical organization within the document.
* **Conditional statements:** Most samples start with ""If accepted,"" indicating a specific condition that needs to be met for the subsequent action to occur.
* **Action verbs:** The text describes specific actions, such as ""countersign,"" ""return,"" ""deliver,"" and ""determine."" These verbs indicate the responsibilities of either the Owner or the Contractor.
* **Specific terms:**  The samples consistently refer to ""Mechanical Completion,"" ""Mechanical Completion Certificate,"" and ""Interim Completion Certificate."" These terms are crucial keywords for identifying relevant sections.

**Keywords and Patterns:**

* **""If accepted""** is a strong indicator of the relevant sections.
* **""Owner"" and ""Contractor""** are the two main parties involved, and their actions are often mentioned.
* **""countersign,"" ""return,"" ""deliver,""** are actions related to the certificates.
* **""Mechanical Completion,"" ""Mechanical Completion Certificate,"" ""Interim Completion Certificate""** are the key terms related to the specific stage of the project.

**Prompt for Gemini LLM:**

**Objective:** Find sections within the lease document that discuss the process and conditions related to Mechanical Completion and the relevant certificates.

**Instructions:**

1. **Search for sections containing the phrase ""If accepted"" followed by actions related to ""Owner"" and ""Mechanical Completion Certificate"" or ""Interim Completion Certificate"".**  
2. **Prioritize sections with numbered structures (e.g., 4.3(c), 10.2(b)) as they likely follow the document's organization.**
3. **Identify the conditions required for the Owner to accept the certificates.**
4. **Extract the actions that the Owner and/or Contractor need to take regarding the certificates.**
5. **Pay attention to any dates or timelines mentioned in relation to Mechanical Completion.**

**Additional Tips:**

* You can utilize keyword search functionalities within your document viewer to quickly identify sections containing the mentioned keywords. 
* Pay attention to the context surrounding the keywords to ensure relevance to Mechanical Completion.

**By following these instructions and focusing on the identified keywords and patterns, Gemini should be able to effectively locate and analyze the relevant sections within the lease document.** 
"
33,Mechanical Completion - Rejection,"## Analyzing Lease Document Text Samples: 

Based on the provided text samples, here's how you can efficiently locate similar sections within the lease document:

**Common Structure:**

* **Numbered Sections and Subsections:**  The text snippets follow a consistent format with numbered sections (e.g., 4.3, 2.2.4, 10.2) and subsections (a, b, c). This indicates a hierarchical structure within the document, allowing for targeted searches using these identifiers.
* **Conditional Statements:** Most samples begin with ""if"" followed by a specific condition, outlining the circumstances under which the subsequent actions should be taken. This is a crucial element to identify related clauses.

**Keyword Patterns:**

* **Parties Involved:** Look for references to ""Owner,"" ""Contractor,"" and sometimes ""Engineer,"" as these are the key players in the agreement and their interactions are likely defined in such clauses. 
* **Completion Stages:** Phrases like ""Interim Completion,"" ""Mechanical Completion,"" and ""Certificate of Mechanical Completion"" signal sections dealing with project milestones and related processes.
* **Actions and Notifications:** Words like ""notify,"" ""provide,"" ""respond in writing,"" ""rejects,"" and ""reasons"" indicate communication protocols and actions required under specific conditions.

**Features of Text:**

* **Formal Language:** The excerpts utilize formal legal language with precise terminology. 
* **Cause and Effect:** The clauses outline specific situations (cause) and the required actions or responses (effect) following them.
* **Detailed Explanations:**  There's emphasis on providing ""detailed explanation,"" ""reasons,"" and specific actions to ensure clarity and avoid ambiguity.

## Prompt for Gemini LLM:

**Instructions:**

Search the lease document for sections that match the following criteria:

* **Structure:** Numbered sections and subsections (e.g., X.X(a)), containing conditional statements starting with ""if"".
* **Keywords:** Focus on clauses mentioning ""Owner,"" ""Contractor,"" ""Engineer,""  ""Completion"" (Interim/Mechanical), ""Certificate,"" ""notify,"" ""provide,"" ""reasons,"" ""rejects,"" and ""respond.""
* **Content:** Prioritize sections outlining actions or communication protocols required under specific conditions related to project milestones and approvals. 

**Example Queries:**

* Find sections where the Owner rejects the Contractor's Mechanical Completion Notice and the required response. 
* Locate clauses detailing the process of achieving Interim Completion and the actions to be taken if it's not achieved.
* Identify sections where the Owner is required to provide a detailed explanation for their decisions. 

**Additional Tips:**

* Use the identified keywords and their synonyms to broaden the search.
* Pay attention to the context surrounding the keywords to ensure relevance to the desired clauses.
* Leverage the numbered sections and subsections to navigate the document efficiently. 
"
35,Substantial Completion - Notification to REA by Developer,"## Finding Substantial Completion Clauses in Lease Documents: A Prompt for Gemini

**Goal:** Locate and extract sections within a lease document that deal with the process and requirements of achieving ""Substantial Completion"" of a project.

**Key Features to Identify:**

* **Section Numbering:** Look for numbered sections, often formatted as ""X.X"" or ""X.X.X"" (e.g., 2.2.4(b), 10.4(a)).
* **Keywords:** Search for the following keywords and their variations:
    * Substantial Completion
    * Certificate
    * Notice
    * Completion
    * Contractor
    * Owner
    * Design-Builder
    * Engineer
* **Trigger Phrases:** Pay attention to phrases that indicate the initiation of the Substantial Completion process, such as:
    * ""When Contractor believes...""
    * ""After the Day on which Contractor...""
    * ""When the Design-Builder believes it has achieved...""
* **Documentation References:** Look for references to specific documents related to Substantial Completion, such as:
    * Exhibit (followed by a letter/number) 
    * O&M Manual (Operations & Maintenance Manual)
* **Action Verbs:** Identify verbs that describe actions to be taken upon achieving Substantial Completion:
    * Notify
    * Deliver
    * Submit 

**Prompt for Gemini:**

```
**Objective:** Identify and extract all sections within this lease document that pertain to ""Substantial Completion"" of the project.

**Instructions:**

1. **Scan the document for sections containing the keywords:** ""Substantial Completion,"" ""Certificate,"" ""Notice,"" ""Completion,"" ""Contractor,"" ""Owner,"" ""Design-Builder,"" and ""Engineer.""
2. **Pay close attention to numbered sections (e.g., 2.2.4(b), 10.4(a)) and identify trigger phrases such as:** 
    * ""When Contractor believes...""
    * ""After the Day on which Contractor...""
    * ""When the Design-Builder believes it has achieved...""
3. **Look for references to specific documents like Exhibits (e.g., Exhibit L) and the O&M Manual.**
4. **Extract the full text of sections that meet the above criteria, including the section number and any relevant details about required actions, timelines, and documentation.**
5. **Present the extracted sections in a clear and organized manner, highlighting key information.**

**Additional Notes:**

* Consider variations of the keywords, such as ""completed"" instead of ""completion.""
* Be aware of context to avoid extracting irrelevant sections that may mention the keywords but not relate to the Substantial Completion process.
```

**By following these instructions, Gemini should be able to effectively locate and extract the relevant sections of the lease document related to Substantial Completion.** 
"
36,Substantial Completion - Review Period,"## Analysis of Text Samples:

From the provided samples, we can identify several key features to look for when searching for similar text sections within a lease document:

**Structure:**

* **Numbered sections and subsections:** The text appears to be organized with a numbered hierarchy, like ""4.6(b)"" or ""2.2.4(a)"". This suggests a consistent structure within the document.
* **Parentheses for sub-sections:** Subsections are often indicated using parentheses following the main section number.

**Keywords:**

* **""Owner""**: This keyword consistently appears in each sample, indicating the text likely refers to actions or responsibilities of the owner.
* **""review"" and ""comments""**: These words suggest the text relates to a process of reviewing something and providing feedback.
* **Timeframes**: Several samples include timeframes for the owner's review, like ""10 business days"" or ""15 days.""

**Additional Features**:

* **Verbs related to actions**: Look for verbs like ""shall,"" ""must,"" ""prepare,"" or ""inspect,"" which often precede specific actions or requirements.
* **Specific terms**:  Some samples contain specific terms like ""Design-Builder,"" ""Substantial Completion Punchlist,"" or ""Work,"" indicating the context of the review and comment process. 

## Prompt for Gemini LLM:

Here's a prompt you can use to leverage Gemini's capabilities to find similar text sections within a lease document:

**Prompt:**

> Search the lease document for sections that follow this structure: 
> 1. **Numbered sections and subsections:** Look for text organized with a numbered hierarchy, like ""X.X(a)"" or ""X.X.X(b)"".
> 2. **Keywords:** Identify sections containing the keywords ""Owner,"" ""review,"" and ""comments."" 
> 3. **Additional features (optional):** 
>     * Look for timeframes associated with the review process, such as ""X business days."" 
>     * Identify sections containing verbs like ""shall,"" ""must,"" ""prepare,"" or ""inspect."" 
>     * Search for specific terms relevant to the lease agreement, like ""Design-Builder"" or ""Substantial Completion Punchlist.""
>
> Please return the identified sections of text with their corresponding section numbers.

**Additional Tips:**

* You can adjust the keywords and features based on the specific focus of your search. 
* If you know the specific section number or context, you can include that information in the prompt to narrow down the search. 
* Experiment with different phrasing and keywords to refine your search results. 
"
37,Substantial Completion - Acceptance,"## Analyzing the Text Samples:

From the provided samples, we can identify several key features to help locate similar sections within a lease document:

**Keywords:**

*   **Substantial Completion:** This term is central to all the samples and signifies a specific stage in the construction process.
*   **Certificate of Substantial Completion:** This document officially acknowledges the completion of the work. 
*   **Owner, Contractor, Design-Builder:** These terms identify the parties involved in the agreement.
*   **Accept, Countersign, Deliver:** These action verbs describe the process of acknowledging and approving the Substantial Completion.

**Structure:**

*   **Numbered sections:**  The sections are organized with numerical identifiers like 4.6(b), 2.2.4(b), etc., indicating a hierarchical structure within the document.
*   **Conditional statements:** Many sections use ""if"" clauses, outlining conditions for specific actions (e.g., ""If accepted, Owner shall..."").

**Common Themes:**

*   The sections deal with the process of acknowledging and documenting the **Substantial Completion** of construction work.
*   They outline the responsibilities of the **Owner** and the **Contractor/Design-Builder** in this process.
*   The **Certificate of Substantial Completion** serves as a key document in formalizing the achievement of this stage.

## Prompt for Gemini LLM:

**Objective:** Locate sections in the lease document related to the process of achieving and acknowledging Substantial Completion of the construction work.

**Instructions:**

1. **Search for keywords:** Look for occurrences of ""Substantial Completion,"" ""Certificate of Substantial Completion,"" ""Owner,"" ""Contractor,"" ""Design-Builder,"" ""Accept,"" ""Countersign,"" and ""Deliver.""
2. **Focus on numbered sections:** Pay close attention to sections with numerical identifiers like ""X.X(X)"" as they likely contain relevant contractual clauses.
3. **Identify conditional statements:** Analyze sections with ""if"" clauses to understand the conditions for specific actions related to Substantial Completion. 
4. **Extract relevant sections:** Once identified, extract the full text of the sections that discuss the process of achieving and acknowledging Substantial Completion, including the responsibilities of the involved parties and the role of the Certificate of Substantial Completion.

**Additional Tips:**

* You can use regular expressions to refine your search and match specific patterns in the document.
* Consider the context of the keywords. For example, ""Completion"" might appear in other contexts, so ensure it relates to ""Substantial Completion"" of the construction work.
* If the document has a table of contents or index, utilize it to navigate directly to relevant sections. 
"
38,Substantial Completion - Rejection,"## Analyzing the Text Samples: Finding Similar Sections in Lease Documents

Based on the provided samples, here's how you can identify similar sections within a site lease document:

**Common Structure:**

* **Numbered Sections and Subsections:**  All samples follow a consistent format of ""X.Y(z)"" where X represents the main section, Y signifies a subsection, and (z) indicates a further sub-division within that subsection. This suggests a hierarchical organization within the document. 
* **Conditional Statements:** Most samples start with ""if"" followed by a specific condition related to ""Substantial Completion"" and the actions required by either Owner or Contractor.

**Similar Keyword Patterns:**

* **Substantial Completion:** This term is central to all samples and appears to be a key concept related to the completion of construction or project milestones.
* **Owner and Contractor:** These terms consistently appear, representing the two main parties involved in the agreement.
* **Notice, Writing, Respond:** These words suggest a formal communication process between Owner and Contractor regarding the status of ""Substantial Completion.""
* **Reasons, Belief, Actions:** These words indicate that justification and explanation of decisions, along with required actions, are important aspects of the process. 

**Features of Text:**

* **Formal Language:** The samples use precise legal and contractual language, avoiding casual expressions. 
* **Focus on Obligations:** The text primarily outlines obligations and responsibilities of both Owner and Contractor in specific situations. 
* **Conditional Clauses:**  The use of ""if"" indicates specific scenarios and the resulting actions that must be taken.

**Prompt for Gemini LLM:**

```
**Objective:** Locate sections within the site lease document that address the process and requirements related to ""Substantial Completion"" and the communication between Owner and Contractor regarding its achievement.

**Instructions:**

1. **Search for sections formatted as ""X.Y(z)""**:  Focus on sections where X likely relates to construction progress or project milestones.
2. **Identify sections containing the keywords:** ""Substantial Completion,"" ""Owner,"" ""Contractor,"" ""Notice,"" ""Writing,"" ""Respond,"" ""Reasons,"" ""Belief,"" and ""Actions.""
3. **Prioritize sections with conditional statements starting with ""if""**: These sections likely outline specific scenarios and required actions.
4. **Extract the full text of relevant sections**: This will provide detailed information about the obligations of both Owner and Contractor regarding ""Substantial Completion.""

**Additional Tips:** 

* Look for sections referencing ""Certificate of Substantial Completion.""
* Pay attention to clauses outlining the process for rejection of ""Substantial Completion"" and subsequent actions.
* Consider the context of the surrounding sections to understand the overall process and related requirements. 
```

By following this prompt and considering the identified features, Gemini can effectively locate and analyze relevant sections within the site lease document. Remember, the specific section numbers and wording might differ, but the core concepts and structure should remain consistent.
"
40,Final Completion - Notification to REA by Developer,"## Finding Final Completion/Acceptance Sections in Lease Documents: Analysis & Prompt

Based on the provided samples, several key features can be used to locate sections related to Final Completion or Final Acceptance within a lease document:

**Common Structures and Keywords:**

* **Trigger Phrases:**  Look for phrases like:
    * ""When Contractor believes...""
    * ""When [Party] considers that...""
    * ""[Party] shall notify [Other Party]...""
    * ""[Party] shall submit to [Other Party]...""
    * ""Notice of Final Acceptance/Completion""
    * ""Certificate of Final Acceptance/Completion""
* **Party Identification:**  Identify the parties involved, usually ""Contractor"" and ""Owner,"" sometimes with additional parties like ""Engineer"" or ""Design-Builder.""
* **Completion Status:** Look for terms like ""Final Completion"" or ""Final Acceptance"" which signify the completion of contractual obligations.
* **Documentation:** Phrases like ""written notice,"" ""certification,"" ""Exhibit [Letter/Number],"" often indicate specific documents related to the process.

**Additional Features:**

* **Numbered Sections:** The samples often use numbered sections (e.g., 4.7(b), 2.2.4(d)) suggesting a structured document format. 
* **Exhibits:** References to ""Exhibit [Letter/Number]"" likely point to attached forms or templates relevant to the process. 

**Prompt for Gemini LLM:**

**Objective:** Locate sections within the lease document related to the process of Final Completion and/or Final Acceptance of work.

**Instructions:**

1. **Identify Sections:** Search for sections containing keywords such as ""Final Completion,"" ""Final Acceptance,"" ""Contractor,"" ""Owner,"" ""notify,"" ""submit,"" ""certificate,"" ""notice,"" ""Exhibit."" Pay close attention to numbered sections and references to Exhibits.
2. **Analyze Content:** Within identified sections, look for the following information:
    * **Triggering event:** What action or belief initiates the process?
    * **Responsible party:** Who is responsible for initiating the process?
    * **Receiving party:** Who needs to be notified or receive documentation?
    * **Required actions:** What specific actions need to be taken? Are there any specific forms or documentation mentioned (e.g., certificates, notices)?
    * **Exhibits:** If Exhibits are referenced, locate and review them for further details.

**Output:**

* Provide a summary of each identified section, including the key information outlined above. 
* If applicable, provide relevant excerpts from the lease document and any referenced Exhibits. 

**Additional Notes:**

* Adapt the keywords and instructions based on the specific terminology used in the lease document.
* Be aware of potential variations in the process, such as different requirements for Final Completion vs. Final Acceptance.
* Use your understanding of the lease agreement and the context of the situation to interpret the extracted information effectively. 
"
41,Final Completion - Review Period,"## Analyzing the Sample Text and Creating a Prompt for Gemini LLM

**Common Structure and Keywords:**

* **Numbered Sections:** All the samples start with a numbered section, indicating a specific clause or subsection within the lease document. The format varies slightly, including: 
    * Single number with a letter in parenthesis (e.g., 4.7(b))
    * Multiple numbers separated by periods with a letter in parenthesis (e.g., 2.2.4(d))
    * Single number (e.g., 4.5)
* **Consistent Phrase:** All samples include the phrase ""Owner shall review and provide any comments."" This is the key identifier for the type of text you're searching for.
* **Timeframe (Optional):** Many samples specify a timeframe for the Owner's review and comments, using keywords like ""within,"" ""days,"" and ""business days."" The specific timeframe varies (e.g., 5 days, 10 business days, 15 days).

**Features of Text to Look For:**

* **Formal Language:** The samples use formal legal language, with precise wording and specific terms. 
* **Action-Oriented:** The text describes an action that the Owner is obligated to perform (review and comment).
* **Time-Bound (Often):** A timeframe for the action is often specified.

**Prompt for Gemini LLM:**

**Objective:** Locate sections within the lease document where the Owner is obligated to review and provide comments.

**Instructions:**

1. Search for text sections that begin with a numbered section identifier (e.g., 2.2.4(d), 4.7(b), 10.9). 
2. Within those sections, identify text containing the exact phrase ""Owner shall review and provide any comments.""
3. Extract the entire sentence or clause containing this phrase.
4. Optionally, note any specified timeframe for the Owner's review and comment (e.g., ""within 10 business days"").
5. Compile a list of all matching sections with their corresponding section identifiers and any timeframe information.

**Example Output:**

* Section 4.7(b): Owner shall review and provide any comments within 5 business days.
* Section 2.2.4(d): Owner shall review and provide any comments within 15 days.
* Section 4.5: Promptly thereafter, the Owner and the Design-Builder must jointly inspect the Work. (Note: This section doesn't explicitly mention ""comments"" but implies a review process.)
* ... (continue for all matching sections) 
"
42,Final Completion - Acceptance,"## Finding Final Completion/Acceptance Certificate Clauses in Lease Agreements:

Based on the provided samples, here's a breakdown of common structures, keywords, and features to look for when searching for sections related to Final Completion/Acceptance Certificates in lease documents:

**Keywords:**

* **Final Completion**: This term, along with variations like ""Final Acceptance,"" is a strong indicator of relevant sections. 
* **Certificate**: Look for ""Certificate of Final Completion"" or ""Final Acceptance Certificate"".
* **Owner**: The Owner's actions regarding the certificate, like ""countersign"" and ""return,"" are often mentioned.
* **Contractor/DesignBuilder**: The party responsible for achieving Final Completion and submitting the certificate. 

**Numbering/Structure:**

* **Numbered sections/clauses:** The examples follow a pattern like ""X.Y(a)"" or ""X.Y.Z"", suggesting a numbered structure within the document.
* **Sub-clauses:** Look for sections with ""(a)"", ""(b)"", ""(c)"", etc., as they often detail specific actions related to the certificate.

**Verbs and Actions:**

* **Countersign and return/deliver**: These actions indicate the Owner's approval of the Final Completion/Acceptance. 
* **Issue**: Look for the Owner ""issuing"" the certificate to the Contractor/DesignBuilder.
* **Acknowledge**: The Owner acknowledging Final Completion is another key phrase.

**Dates:**

* **Date of Final Completion**: Sections may specify how the date of Final Completion is determined, often linked to the certificate's submission and acceptance.

**Prompt for Gemini LLM:**

**Objective:** Locate and extract sections within the lease document related to the Final Completion/Acceptance Certificate.

**Instructions:**

1. **Identify sections with the following keywords**: ""Final Completion"", ""Final Acceptance"", ""Certificate"", ""Owner"", ""Contractor"", ""DesignBuilder"".
2. **Pay close attention to numbered sections and sub-clauses**: Look for patterns like ""X.Y(a)"" or ""X.Y.Z"".
3. **Focus on sections mentioning actions related to the certificate**: ""Countersign"", ""return"", ""deliver"", ""issue"", ""acknowledge"".
4. **Extract any information on how the date of Final Completion is determined**.
5. **Provide the located sections with their respective numbering/labels for reference**.

**Additional Tips:**

* Utilize the search function within your document viewer and search for the mentioned keywords. 
* Pay attention to the context surrounding the keywords to ensure relevance.
* If the document has a table of contents, it may directly list relevant sections. 
"
